rank,gid,role,priority_score,why
18,100000004015047100,consolidator,0.9114,"Признаки сбора: 9 разных плательщиков, получил 919 тыс; передал дальше 8%. Из полученного 845 тыс (91%) прослеживается к seed. Блокировка убирает 0.4% меченого потока. Кластер 4. Гипотеза для проверки, не вывод о вине."
19,100000000343175100,coordinator,0.911,"Признаки узла управления: получает от 8, переводит 31 получателям, по посредничеству в топ-2% узлов, достижим от 7 seed. Seed: входящие занижены выгрузкой. Из полученного 155 тыс (100%) прослеживается к seed. Блокировка убирает 2.1% меченого потока. Кластер 11. Гипотеза для проверки, не вывод о вине."
20,100000003701161100,consolidator,0.9101,"Признаки сбора: 4 разных плательщиков, получил 1,5 млн; передал дальше 23%. Из полученного 864 тыс (54%) прослеживается к seed. Блокировка убирает 0.5% меченого потока. Кластер 21. Гипотеза для проверки, не вывод о вине."
21,100000007594394100,consolidator,0.9066,"Признаки сбора: 6 разных плательщиков, получил 395 тыс; передал дальше в 8,5 раза больше полученного (есть невидимые поступления извне). Из полученного 309 тыс (71%) прослеживается к seed. Блокировка убирает 1.1% меченого потока. Кластер 17. Гипотеза для проверки, не вывод о вине."
22,100000003242289100,distributor,0.8964,"Признаки раздачи: 23 получателей против 3 плательщиков, отправил 2,4 млн в 26 переводах. Из полученного 414 тыс (69%) прослеживается к seed. Блокировка убирает 1.2% меченого потока. Кластер 16. Гипотеза для проверки, не вывод о вине."
23,100000008512552100,consolidator,0.8963,"Признаки сбора: 4 разных плательщиков, получил 394 тыс; передал дальше в 3,3 раза больше полученного (есть невидимые поступления извне). Из полученного 306 тыс (76%) прослеживается к seed. Блокировка убирает 0.5% меченого потока. Кластер 16. Гипотеза для проверки, не вывод о вине."
24,100000001616816100,consolidator,0.8915,"Признаки сбора: 5 разных плательщиков, получил 176 тыс; передал дальше 103%. Seed: входящие занижены выгрузкой. Из полученного 159 тыс (100%) прослеживается к seed. Блокировка убирает 0.9% меченого потока. Кластер 4. Гипотеза для проверки, не вывод о вине."
25,100000005382566100,consolidator,0.8901,"Признаки сбора: 7 разных плательщиков, получил 393 тыс; передал дальше 13%. Seed: входящие занижены выгрузкой. Из полученного 393 тыс (100%) прослеживается к seed. Блокировка убирает 0.2% меченого потока. Кластер 18. Гипотеза для проверки, не вывод о вине."
26,100000002741024100,consolidator,0.8882,"Признаки сбора: 5 разных плательщиков, получил 818 тыс; передал дальше 53%. Из полученного 501 тыс (51%) прослеживается к seed. Блокировка убирает 0.3% меченого потока. Кластер 1. Гипотеза для проверки, не вывод о вине."
27,100000005514161100,consolidator,0.8856,"Признаки сбора: 4 разных плательщиков, получил 402 тыс; передал дальше 12%. Из полученного 401 тыс (100%) прослеживается к seed. Блокировка убирает 0.2% меченого потока. Кластер 4. Гипотеза для проверки, не вывод о вине."
28,100000000661912100,consolidator,0.8803,"Признаки сбора: 5 разных плательщиков, получил 393 тыс; передал дальше 110%. Из полученного 258 тыс (57%) прослеживается к seed. Блокировка убирает 0.2% меченого потока. Кластер 1. Гипотеза для проверки, не вывод о вине."
29,100000005782781100,coordinator,0.8788,"Признаки узла управления: получает от 6, переводит 10 получателям, по посредничеству в топ-2% узлов, достижим от 7 seed. Из полученного 127 тыс (72%) прослеживается к seed. Блокировка убирает 0.3% меченого потока. Кластер 4. Гипотеза для проверки, не вывод о вине."
30,100000004759121100,consolidator,0.8777,"Признаки сбора: 6 разных плательщиков, получил 710 тыс; передал дальше 44%. Из полученного 493 тыс (61%) прослеживается к seed. Блокировка убирает 0.3% меченого потока. Кластер 1. Гипотеза для проверки, не вывод о вине."
